date,industry,unemployed
1946-01-01,Argentina,17
1946-01-01,Australia,0
1946-01-01,Brazil,16
1946-01-01,Croatia,0
1946-01-01,England,28
1946-01-01,France,6
1946-01-01,Japan,0
1946-01-01,Morocco,0
1946-01-01,Netherlands,16
1946-01-01,Poland,0
1946-01-01,Portugal,5
1946-01-01,Senegal,0
1946-01-01,SouthKorea,0
1946-01-01,Spain,0
1946-01-01,Switzerland,5
1946-01-01,UnitedStates,0
1947-01-01,Argentina,28
1947-01-01,Australia,12
1947-01-01,Brazil,3
1947-01-01,Croatia,0
1947-01-01,England,28
1947-01-01,France,15
1947-01-01,Japan,0
1947-01-01,Morocco,0
1947-01-01,Netherlands,10
1947-01-01,Poland,10
1947-01-01,Portugal,10
1947-01-01,Senegal,0
1947-01-01,SouthKorea,0
1947-01-01,Spain,3
1947-01-01,Switzerland,12
1947-01-01,UnitedStates,2
1948-01-01,Argentina,0
1948-01-01,Australia,25
1948-01-01,Brazil,3
1948-01-01,Croatia,0
1948-01-01,England,19
1948-01-01,France,9
1948-01-01,Japan,0
1948-01-01,Morocco,0
1948-01-01,Netherlands,7
1948-01-01,Poland,4
1948-01-01,Portugal,2
1948-01-01,Senegal,0
1948-01-01,SouthKorea,0
1948-01-01,Spain,7
1948-01-01,Switzerland,11
1948-01-01,UnitedStates,3
1949-01-01,Argentina,0
1949-01-01,Australia,0
1949-01-01,Brazil,46
1949-01-01,Croatia,0
1949-01-01,England,24
1949-01-01,France,7
1949-01-01,Japan,0
1949-01-01,Morocco,0
1949-01-01,Netherlands,13
1949-01-01,Poland,9
1949-01-01,Portugal,5
1949-01-01,Senegal,0
1949-01-01,SouthKorea,10
1949-01-01,Spain,12
1949-01-01,Switzerland,15
1949-01-01,UnitedStates,8
1950-01-01,Argentina,6
1950-01-01,Australia,16
1950-01-01,Brazil,31
1950-01-01,Croatia,4
1950-01-01,England,20
1950-01-01,France,9
1950-01-01,Japan,0
1950-01-01,Morocco,0
1950-01-01,Netherlands,11
1950-01-01,Poland,6
1950-01-01,Portugal,8
1950-01-01,Senegal,0
1950-01-01,SouthKorea,3
1950-01-01,Spain,17
1950-01-01,Switzerland,19
1950-01-01,UnitedStates,4
1951-01-01,Argentina,2
1951-01-01,Australia,0
1951-01-01,Brazil,0
1951-01-01,Croatia,0
1951-01-01,England,16
1951-01-01,France,9
1951-01-01,Japan,0
1951-01-01,Morocco,0
1951-01-01,Netherlands,17
1951-01-01,Poland,0
1951-01-01,Portugal,5
1951-01-01,Senegal,0
1951-01-01,SouthKorea,0
1951-01-01,Spain,9
1951-01-01,Switzerland,9
1951-01-01,UnitedStates,0
1952-01-01,Argentina,4
1952-01-01,Australia,0
1952-01-01,Brazil,14
1952-01-01,Croatia,0
1952-01-01,England,21
1952-01-01,France,14
1952-01-01,Japan,0
1952-01-01,Morocco,0
1952-01-01,Netherlands,9
1952-01-01,Poland,4
1952-01-01,Portugal,2
1952-01-01,Senegal,0
1952-01-01,SouthKorea,0
1952-01-01,Spain,8
1952-01-01,Switzerland,9
1952-01-01,UnitedStates,0
1953-01-01,Argentina,4
1953-01-01,Australia,0
1953-01-01,Brazil,17
1953-01-01,Croatia,0
1953-01-01,England,22
1953-01-01,France,28
1953-01-01,Japan,0
1953-01-01,Morocco,0
1953-01-01,Netherlands,3
1953-01-01,Poland,2
1953-01-01,Portugal,4
1953-01-01,Senegal,0
1953-01-01,SouthKorea,15
1953-01-01,Spain,7
1953-01-01,Switzerland,10
1953-01-01,UnitedStates,3
1954-01-01,Argentina,3
1954-01-01,Australia,9
1954-01-01,Brazil,11
1954-01-01,Croatia,0
1954-01-01,England,21
1954-01-01,France,12
1954-01-01,Japan,3
1954-01-01,Morocco,0
1954-01-01,Netherlands,14
1954-01-01,Poland,3
1954-01-01,Portugal,1
1954-01-01,Senegal,0
1954-01-01,SouthKorea,7
1954-01-01,Spain,6
1954-01-01,Switzerland,21
1954-01-01,UnitedStates,7
1955-01-01,Argentina,18
1955-01-01,Australia,1
1955-01-01,Brazil,9
1955-01-01,Croatia,0
1955-01-01,England,22
1955-01-01,France,10
1955-01-01,Japan,1
1955-01-01,Morocco,0
1955-01-01,Netherlands,11
1955-01-01,Poland,6
1955-01-01,Portugal,10
1955-01-01,Senegal,0
1955-01-01,SouthKorea,0
1955-01-01,Spain,8
1955-01-01,Switzerland,8
1955-01-01,UnitedStates,2
1956-01-01,Argentina,22
1956-01-01,Australia,1
1956-01-01,Brazil,37
1956-01-01,Croatia,5
1956-01-01,England,22
1956-01-01,France,12
1956-01-01,Japan,0
1956-01-01,Morocco,0
1956-01-01,Netherlands,12
1956-01-01,Poland,13
1956-01-01,Portugal,8
1956-01-01,Senegal,0
1956-01-01,SouthKorea,21
1956-01-01,Spain,1
1956-01-01,Switzerland,10
1956-01-01,UnitedStates,9
1957-01-01,Argentina,42
1957-01-01,Australia,0
1957-01-01,Brazil,34
1957-01-01,Croatia,0
1957-01-01,England,22
1957-01-01,France,15
1957-01-01,Japan,0
1957-01-01,Morocco,0
1957-01-01,Netherlands,20
1957-01-01,Poland,10
1957-01-01,Portugal,5
1957-01-01,Senegal,0
1957-01-01,SouthKorea,0
1957-01-01,Spain,22
1957-01-01,Switzerland,6
1957-01-01,UnitedStates,5
1958-01-01,Argentina,8
1958-01-01,Australia,5
1958-01-01,Brazil,28
1958-01-01,Croatia,0
1958-01-01,England,21
1958-01-01,France,37
1958-01-01,Japan,4
1958-01-01,Morocco,3
1958-01-01,Netherlands,35
1958-01-01,Poland,9
1958-01-01,Portugal,1
1958-01-01,Senegal,0
1958-01-01,SouthKorea,3
1958-01-01,Spain,9
1958-01-01,Switzerland,2
1958-01-01,UnitedStates,0
1959-01-01,Argentina,30
1959-01-01,Australia,0
